section,scenario,cans,line,huf_per_can,eur_per_can,status,note
INGREDIENTS,BATCH 1,1700,Collagen peptides 11.111 g (hydrolysed bovine),65.18,0.180,ESTIMATE,"Authoritative source: product/04_FORMULATION_V1.csv. 90% protein assumed - CONFIRM ON CoA."
INGREDIENTS,BATCH 1,1700,Whey protein isolate 11.111 g CLEAR/ACID-STABLE grade,163.90,0.451,ESTIMATE,"BASE CASE. Clear grade is REQUIRED - commodity WPC80/standard WPI will haze at pH 3.2. Optimistic commodity-WPI90 case is 131.08."
INGREDIENTS,BATCH 1,1700,L-leucine 1.7 g,9.60,0.026,ESTIMATE,Enables the 3 g leucine per can claim.
INGREDIENTS,BATCH 1,1700,L-tryptophan 150 mg,0.71,0.002,ESTIMATE,"LEGALITY UNVERIFIED - may free amino acids be added to a beverage? See 34_OPEN_QUOTES Tier 1 item 7."
INGREDIENTS,BATCH 1,1700,Sweetener system (sucralose + acesulfame K),6.19,0.017,ESTIMATE,Cheaper than erythritol and avoids the EU beverage polyol limit.
INGREDIENTS,BATCH 1,1700,Acid system (citric + malic),2.50,0.007,ESTIMATE,Target pH 3.2.
INGREDIENTS,BATCH 1,1700,Natural flavour lemon-lime,8.00,0.022,ESTIMATE,~0.15% dosage.
INGREDIENTS,BATCH 1,1700,Potassium sorbate,0.80,0.002,ESTIMATE,CONDITIONAL - omit if tunnel-pasteurised. Co-packer decides.
INGREDIENTS,BATCH 1,1700,SUBTOTAL INGREDIENTS (clear-WPI base case),256.88,0.708,ESTIMATE,"Optimistic case with commodity WPI90: 224.06 HUF."
CONVERSION,BATCH 1,1700,Can body + end (co-packer stock blank),52.00,0.143,QUOTE REQUIRED,Cannot buy direct - can makers need 150000+ truckloads.
CONVERSION,BATCH 1,1700,Shrink sleeve + application,42.00,0.116,QUOTE REQUIRED,Blank can + sleeve. Printed cans need 150000-250000 units.
CONVERSION,BATCH 1,1700,Filling / tolling variable,60.00,0.165,QUOTE REQUIRED,LARGEST UNKNOWN.
CONVERSION,BATCH 1,1700,Setup / changeover / recipe fee amortised,70.00,0.193,QUOTE REQUIRED,"119000 HUF fixed / 1700 cans. Dominates at low volume."
CONVERSION,BATCH 1,1700,Tray / carton / film,8.00,0.022,ESTIMATE,24-can trays.
CONVERSION,BATCH 1,1700,Inbound freight to Hungary,15.00,0.041,ESTIMATE,1 pallet groupage. Higher if Opre fills in Slovakia.
CONVERSION,BATCH 1,1700,EPR packaging fee,5.10,0.014,ESTIMATE,2.6 primary + 2.52 secondary. Applies BELOW the DRS threshold.
CONVERSION,BATCH 1,1700,Waste / reject allowance 3%,15.30,0.042,ESTIMATE,First runs reject more.
COGS,BATCH 1 BASE,1700,TOTAL LANDED COGS (clear-WPI base case),524.00,1.444,ESTIMATE,"RANGE 460-620. Optimistic commodity-WPI case = 491."
COGS,BATCH 1 OPTIMISTIC,1700,TOTAL LANDED COGS (commodity WPI90),491.00,1.353,ESTIMATE,Only valid if a commodity WPI stays clear at pH 3.2 - it probably will not.
CHANNEL,DIRECT @899,1700,Consumer pays incl 27% AFA,899.00,2.476,DECISION,RECOMMENDED for batch 1. Within the founder's stated 899 maximum.
CHANNEL,DIRECT @899,1700,less AFA,-191.13,-0.527,DERIVED,899 / 1.27 = 707.87.
CHANNEL,DIRECT @899,1700,NET REVENUE,707.87,1.950,DERIVED,Founder keeps the full retail margin.
CHANNEL,DIRECT @899,1700,CONTRIBUTION PER CAN,183.87,0.507,DERIVED,707.87 - 524. THE RECOMMENDED CONFIGURATION.
CHANNEL,DIRECT @799,1700,NET REVENUE,629.13,1.733,DERIVED,799 / 1.27.
CHANNEL,DIRECT @799,1700,CONTRIBUTION PER CAN,105.13,0.290,DERIVED,"629.13 - 524. Viable but leaves almost nothing after setup costs."
CHANNEL,CONSIGNMENT @899 gym keeps 160,1700,Settlement to founder gross,739.00,2.036,DERIVED,899 - 160 gym cut.
CHANNEL,CONSIGNMENT @899 gym keeps 160,1700,NET REVENUE,581.89,1.603,DERIVED,739 / 1.27.
CHANNEL,CONSIGNMENT @899 gym keeps 160,1700,CONTRIBUTION PER CAN,57.89,0.159,DERIVED,581.89 - 524. Thin but positive.
