item,category,cost_type,eur_low,eur_base,eur_high,huf_base,status,when_needed,contact_or_source,notes
Add TEAOR codes 4634 + 4725 to existing family company,business setup,ONE-TIME,0,80,165,29040,ESTIMATE,Before first sale,Accountant / cegbirosag,Cheapest legal route if a family company exists. 0 HUF if the accountant does it as routine work.
ALTERNATIVE: father registers as secondary-occupation egyeni vallalkozo,business setup,ONE-TIME,0,0,0,0,CONFIRMED,Before first sale,https://ugyfelportal.nav.gov.hu/vallalkozoi-ugyseged/main,Registration fee is 0 HUF. Portal changed 2026-02-19; nyilvantarto.hu closed to new applications 2026-03-01.
Chamber of commerce contribution (kamarai hozzajarulas),business setup,PER-YEAR,14,14,14,5000,LIKELY,Within 5 days of registration,Local kereskedelmi es iparkamara,5000 HUF/year flat. Mandatory for all businesses.
ALTERNATIVE: egyszemelyes Kft. founding (lawyer + fees),business setup,ONE-TIME,140,275,413,99860,LIKELY,Only if limited liability needed,Ugyved,"50,720-150,000 HUF. Simplified Ctv. 48 procedure is illetekmentes. 3M HUF capital deferrable 2 years."
Kft. annual running cost (accounting + minimum taxes),business setup,PER-YEAR,1719,1855,1992,673500,LIKELY,Ongoing if Kft chosen,Konyveloiroda,"624,000-723,000 HUF/yr. AVOID until volume justifies it."
WARNING - full-time egyeni vallalkozo minimum contributions,business setup,PER-YEAR,3362,3362,3362,1220184,LIKELY,DO NOT CHOOSE,nav.gov.hu,"101,682 HUF/month with ZERO revenue. Burns the entire EUR 1000 in under 4 months. Secondary-occupation status avoids this."
Food business operator registration + FELIR identifier,regulatory,ONE-TIME,0,0,0,0,LIKELY,Before placing product on market,portal.nebih.gov.hu / jarasi hivatal,Registration itself is free. Must be done BEFORE first sale.
FELIR felugyeleti dij (supervision fee),regulatory,PER-YEAR,0,0,0,0,NEEDS PROFESSIONAL CONFIRMATION,Annual,NEBIH,Percentage of net turnover with a minimum. At pilot turnover likely negligible or zero. VERIFY.
Hungarian food-law classification opinion,regulatory,ONE-TIME,150,275,400,99825,QUOTE REQUIRED,Before ordering cans,Hungarian food lawyer / elelmiszerjogi tanacsado,"HIGHEST-LEVERAGE SPEND. Settles DRS scope + AFA rate (27 vs 18) + NETA scope in one opinion."
GS1 Hungary membership + GTIN allocation,regulatory,ONE-TIME,0,0,0,0,QUOTE REQUIRED,Before artwork,https://gs1hu.org,"UNKNOWN - fee schedule not obtainable (egress blocked). Ask for smallest package. NOTE: reseller barcodes may be REJECTED by MOHU/retailers - use GS1-issued GTIN."
MOHU DRS producer registration,regulatory,ONE-TIME,0,0,0,0,NOT REQUIRED AT PILOT,Only above ~5000 units/yr,https://mohu.hu,Below ~5000 cans/year the DRS very probably does not apply. NEEDS PROFESSIONAL CONFIRMATION.
MOHU DRS per-SKU product registration,regulatory,ONE-TIME,0,0,0,0,QUOTE REQUIRED,Only above ~5000 units/yr,MOHU PartnerPortal,UNKNOWN - QUOTE REQUIRED. Budget for one per GTIN.
MOHU per-unit service fee,regulatory,PER-CAN,0,0,0,0,QUOTE REQUIRED,Only above ~5000 units/yr,MOHU,"MOST IMPORTANT MISSING NUMBER above threshold. Even at 10 HUF/can it is ~1% of RRP - not a go/no-go item."
EPR packaging fee (aluminium can),regulatory,PER-CAN,0.007,0.007,0.008,2.6,ESTIMATE,Quarterly,OKIRkapu / MOHU,"~2.42-2.79 HUF/can. Applies BELOW the DRS threshold. Above it the can is EPR-exempt but shipper cartons never are."
EPR on secondary packaging (cartons + film),regulatory,PER-CAN,0.007,0.007,0.007,2.52,ESTIMATE,Quarterly,OKIRkapu,~2.52 HUF/can on a ~350 g carton of 24. You never escape this.
Product liability insurance,insurance,PER-YEAR,0,0,0,0,QUOTE REQUIRED,Before first sale,"Colonnade, CIG Pannonia EMABIT, Marsh, biztositson.hu","Not statutorily mandatory but strongly advised. No Hungarian insurer publishes a premium. NOTE: Directive (EU) 2024/2853 (transpose by 2026-12-09) puts own-brand sellers in the manufacturer's liability position."
Label / can artwork design,brand,ONE-TIME,0,80,400,29040,ESTIMATE,Before production,DIY in Canva or Figma / Hungarian freelancer,EUR 0 if self-designed. Do not spend more than EUR 150 on batch 1 artwork - it will change.
Shrink sleeve origination / plates,packaging,ONE-TIME,0,0,0,0,QUOTE REQUIRED,With can order,Sleeve printer via co-packer,Ask the co-packer to quote sleeves inclusive. Digital sleeve printing avoids plate costs.
Benchmark products for tasting,product,ONE-TIME,20,25,40,9075,ESTIMATE,Week 1,"myprotein.hu, gymbeam.hu, local retail","Myprotein Clear Protein Whey & Collagen is the exact architecture, sold in Hungary."
Domain (.hu) + minimal website,brand,PER-YEAR,15,45,110,16335,ESTIMATE,Before gym outreach,Hungarian registrar / Carrd / Framer,A one-page site with the sell sheet is enough. Do not build a webshop for batch 1.
Nutrition analysis (laboratory),lab,ONE-TIME,0,0,0,0,NOT REQUIRED,N/A,N/A,"AVOIDED. Reg. 1169/2011 Art. 31(4) permits nutrition values established by CALCULATION from known average values. Saves EUR 800-2000."
Microbiological testing,lab,PER-BATCH,0,0,0,0,QUOTE REQUIRED,With production,Co-packer,Normally included in the co-packer's own QA and CoA. Confirm the CoA is provided per batch.
Trademark (national SZTNH or EU EUIPO),brand,ONE-TIME,0,0,0,0,QUOTE REQUIRED,DEFER,"sztnh.gov.hu, euipo.europa.eu",DEFER past batch 1. Do a free name search first; do not file until volume justifies it.
Co-packer setup / changeover / recipe fee,manufacturing,ONE-TIME,0,0,0,0,QUOTE REQUIRED,With order,Opre / Bubee / MONYO,"Assume it exists and is material at small volume. MONYO publishes a 50% deposit requirement. Allergen changeover for whey may carry a surcharge - ASK."
Batch 1 production - 1700 cans all-in landed,manufacturing,PER-BATCH,2000,2300,2600,834900,ESTIMATE,On order,Opre' Label sales@oprelabel.com,"= 428-555 HUF/can landed. Base case 491 HUF/can. THIS IS THE MAIN SPEND."
Inbound freight to Hungary,logistics,PER-BATCH,0,0,0,0,QUOTE REQUIRED,With order,Co-packer or forwarder,"If Opre' fills in Slovakia this is cross-border. 1 pallet groupage. Ask co-packer to quote delivered (DDP Budapest)."
Storage,logistics,PER-YEAR,0,0,0,0,ESTIMATE,Ongoing,Home / garage,1 pallet ~1 m2. Free at home under the registered food business. Verify premises requirements with the classification opinion.
Free samples to gyms,sales,ONE-TIME,55,83,110,30129,ESTIMATE,Weeks 3-8,N/A,"~150-200 cans at cost (491 HUF). Budget this deliberately - it is your main sales tool."
Payment acceptance (card reader for direct sales),sales,ONE-TIME,0,39,55,14157,ESTIMATE,Before direct sales,SumUp / Revolut / Barion,Only needed if selling in person. Cash is acceptable at pilot scale.
Contingency at 15%,contingency,ONE-TIME,300,390,500,141570,ESTIMATE,Hold in reserve,N/A,DO NOT SKIP. First production runs go wrong in ways you cannot forecast.
